title,undertitle,price,address,date,key_value,propertydetail
House For Sale in Yankin,"7 bedroom, 7 bathroom Privatehouse for sale in Yankin, Yangon","For Sale                                    
                        75,000 Lakhs","Yankin, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '4RC'), ('Area', ""60' x 70'""), ('Bed Room', '7'), ('Bath Room', '7'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]","Property Name : ရန်ကင်းမြို့နယ်၊ သီရိလမ်း၊ ချော်တွင်းကုန်း လမ်းဆုံအနီး၊ Indoor Mini Swimming pool, ဓာတ်လှေခါး၊ မီးစက် ပါ လုံချင်း 4RC လုံးလျင်းအိမ်ကောင်း အမြန်ရောင်းမည်"
House For Sale in Mayangone,"5 bedroom, 5 bathroom Privatehouse for sale in Mayangone, Yangon","For Sale                                    
                        65,000 Lakhs","Mayangone, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '၂ ထပ်တိုက်'), ('Area', ""55' x 140'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Ownership', 'Contract'), ('Furnishing Type', 'Fully Furnished'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မရမ်းကုန်းမြို့နယ် (?)မိုင် ကုန်းမြင့်ရိပ်သာလမ်း ဇာတိမာန်လမ်းရှိ လုံးချင်းခြံကျယ် အမြန်ရောင်းမည်
House For Sale in Hlaing,"5 bedroom, 5 bathroom Privatehouse for sale in Hlaing, Yangon","For Sale                                    
                        73,000 Lakhs","Hlaing, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2RC'), ('Area', ""60' x 70'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Availability Date', 'ready to use'), ('Ownership', 'Grant'), ('Flooring Type', 'Parquet Flooring'), ('Water System Type', 'Groundwater pumping'), ('Furnishing Type', 'Fully Furnished'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : လှိုင်မြို့နယ်၊ ပြည်လမ်း၊ အင်းစိန်လမ်း အနီး၊ ကန်လမ်းသွယ် ရှိ Basement ပါ 2.RC လုံးချင်းအိမ် အသစ်စက်စက် အမြန်ရောင်းမည်။ 
Apartment For Sale in Okkalappa South,"1 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        1,950 Lakhs","Okkalappa South, Yangon",Posted Date : 22 Jan 2026,"[('Type', 'Apartment'), ('Floor', '1st Floor'), ('Area', ""14' x 54'""), ('Bath Room', '1'), ('Ownership', '')]",Property Name : တောင်ဥက္ကလာပမြို့နယ်_သံသုမာလမ်းဒဲ့‌ပေါက်_မြင်သာလမ်းသွယ်_ဘဏ်ချိတ်ရပထမထပ်အရောင်း
House For Sale in Thaketa,"1 bathroom Privatehouse for sale in Thaketa, Yangon","For Sale                                    
                        27,000 Lakhs","Thaketa, Yangon",Posted Date : 22 Jan 2026,"[('Type', 'House'), ('Floor', 'BN'), ('Area', ""45' x 60'""), ('Bath Room', '1'), ('Ownership', '')]",Property Name : သာကေတ-၇ဈေးလမ်းမပေါ်-ထောင့်ကွက်-ဘဏ်ချိတ်ရ-လုံးချင်းအရောင်း
Condo For Sale in Thanlyin,"2 bedroom, 2 bathroom Condo for sale in Thanlyin, Yangon","For Sale                                    
                        4,500 Lakhs","Thanlyin, Yangon",Posted Date : 22 Jan 2026,"[('Type', 'Condo'), ('Floor', '7th'), ('Area', '943 ft<sup>2</sup>'), ('Bed Room', '2'), ('Bath Room', '2'), (' Phone ', 'Yes'), ('Ownership', 'Contract'), ('Furnishing Type', 'Fully Furnished')]",Property Name : StarCityCondo-အထုပ်ဆွဲအသင့်တက်နေရုံ-ပရိဘောဂအပါ-2bedroom-အရောင်းခန်း
Apartment For Sale in Mingalartaungnyunt,"2 bedroom, 1 bathroom Apartment for sale in Mingalartaungnyunt, Yangon","For Sale                                    
                        850 Lakhs","Mingalartaungnyunt, Yangon",Posted Date : 22 Jan 2026,"[('Type', 'Apartment'), ('Floor', '5F'), ('Area', ""12.50' x 50'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Tiled Floor &amp; Walls for Kitchen, toilent, bathroom')]",Property Name : မင်္ဂလာတောင်ညွန့်မြို့နယ် ၊ပုသိမ်ညွန့်လမ်းသွယ် ပြင်ဆင်ပြီးအသင့်တက်နေလို့ရမည့် အရောင်းခန်း
Condo For Sale in Hlaing,"4 bedroom, 2 bathroom Condo for sale in Hlaing, Yangon","For Sale                                    
                        7,700 Lakhs","Hlaing, Yangon",Posted Date : 22 Jan 2026,"[('Type', 'Condo'), ('Floor', '5F(below)'), ('Area', '1980 ft<sup>2</sup>'), ('Bed Room', '4'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Tiled Floor &amp; Walls for Kitchen, toilent, bathroom')]",Property Name : လှိုင်မြို့နယ် U Koon Zaw Yeik Mon Condo  အရောင်းခန်း
Land For Sale in Hlaing," Land for sale in Hlaing, Yangon","For Sale                                    
                        435,600 Lakhs","Hlaing, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Land'), ('Area', '1 acre'), ('Ownership', 'Inheritance')]",Property Name : အထပ်မြင့်ဆောက်ဖို့အ‌ကောင်းဆုံး မျက်နှာစာပေ 200 နီးပါးရှိ မြေကွက်ကျယ် ရောင်းမည်
Land For Sale in Mayangone," Land for sale in Mayangone, Yangon","For Sale                                    
                        380,000 Lakhs","Mayangone, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Land'), ('Area', ""115' x 400'""), ('Ownership', 'Inheritance')]",Property Name : လမ်းမတန်းမြေကွက်ကျယ် ရောင်းမည်
Apartment For Sale in Sanchaung,"2 bedroom, 2 bathroom Apartment for sale in Sanchaung, Yangon","For Sale                                    
                        4,500 Lakhs","Sanchaung, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Apartment'), ('Floor', 'ပထမထပ်'), ('Area', ""25' x 41'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Aircon conditioner details', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ဗဟိုလမ်းမပေါ်_ပထမထပ်တိုက်ခန်း_ရောင်းမည်
Apartment For Sale in Hlaing,"2 bedroom, 2 bathroom Apartment for sale in Hlaing, Yangon","For Sale                                    
                        6,500 Lakhs","Hlaing, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Apartment'), ('Area', ""23' x 70'""), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', 'Contract')]",Property Name : အုတ်ကျင်းလမ်းမပေါ်_မြေညီထပ်ရောင်းမည်
Condo For Sale in Yankin,"3 bedroom, 3 bathroom Condo for sale in Yankin, Yangon","For Sale                                    
                        9,900 Lakhs","Yankin, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Condo'), ('Area', '1305 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Room Partition Type', 'Master and Single Bedroom')]","Property Name : Sedona Hotel,  Inya Lake ,Myanmar Plaza, မြကျွန်းသာ ၊ The Central  တကယ့်နေရာကောင်းတွေကြီးရဲ့အနီးဆုံးရှိ ကွန်ဒိုအခန်းရောင်းမည်"
Condo For Sale in Kamaryut,"3 bedroom, 3 bathroom Condo for sale in Kamaryut, Yangon","For Sale                                    
                        19,000 Lakhs","Kamaryut, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Condo'), ('Area', '3200 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Furnishing Type', 'Fully Furnished'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : ကမာရွတ်မြို့နယ် လှည်းတန်းနဲ့အနီးဆုံးမှာ  Furnitureအပြည့်အစုံထည့်သွင်းပြင်ဆင်ပြီး Penthouse အခန်း ရောင်းမည်
Condo For Sale in Kamaryut,"3 bedroom, 3 bathroom Condo for sale in Kamaryut, Yangon","For Sale                                    
                        7,300 Lakhs","Kamaryut, Yangon",Posted Date : 21 Jan 2026,"[('Type', 'Condo'), ('Area', '1750 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Aircon conditioner details', '4'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : အရောင်းခန်းထွက်ရန် အရမ်းရှားပါးသော ပြည်လမ်းမအနီး ( အာတီးယား ) Condo‌အရောင်းခန်း
Condo For Sale in Ahlon,"3 bedroom, 3 bathroom Condo for sale in Ahlon, Yangon","For Sale                                    
                        7,500 Lakhs","Ahlon, Yangon",Posted Date : 19 Jan 2026,"[('Type', 'Condo'), ('Area', '1850 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '3'), ('Aircon conditioner details', '4'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Furnishing Type', 'Fully Furnished'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : အလုံမြို့နယ် အလုံလမ်းမပေါ်မှာရှိပြီးနေရာလည်းကောင်း ၊ သွားလာရေးလည်းလွယ်ကူပြီး 24နာရီမီးရတဲ့ Orchid Condo က အရောင်းခန်း
Apartment For Sale in Thaketa,"1 bathroom Apartment for sale in Thaketa, Yangon","For Sale                                    
                        1,200 Lakhs","Thaketa, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', '၆လွှာ'), ('Area', ""18' x 54'""), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Tiled Floor &amp; Walls for Kitchen, toilent, bathroom')]",Property Name : #သာကေတမြို့နယ်_ထူပါရုံလမ်းသွယ်_နာမည်ကြီးစစ်သူကြီးတိုက်_ဘဏ်ချိတ်ရတိုက်ခန်းအရောင်း  
Apartment For Sale in Okkalappa South,"1 bedroom, 1 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        3,250 Lakhs","Okkalappa South, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', '6 လွှာ'), ('Area', ""54' x 25'""), ('Bed Room', '1'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : တောင်ဥက္ကလာ (၁၃)ရပ်ကွက် ရတနာလမ်းမကြီးပေါ်ရှိ တိုက်ခန်း‌လေးရောင်းပါမည်။
House For Sale in Dagon Myothit (North),"4 bedroom, 3 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        7,500 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 18 Jan 2026,"[('Type', 'House'), ('Floor', '2'), ('Area', ""60' x 25'""), ('Bed Room', '4'), ('Bath Room', '3'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : မြောက်ဒဂုံ (၄၇) ရပ်ကွက်၊ ဗထူးလမ်းမကြီး ကျောကပ်လမ်းရှိ ပေ 25×60၊ 2RC တိုက်အိမ်‌လေးအရောင်းပါ!
Apartment For Sale in Thingangkuun,"2 bedroom, 1 bathroom Apartment for sale in Thingangkuun, Yangon","For Sale                                    
                        2,300 Lakhs","Thingangkuun, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', 'ဒုတိယထပ်'), ('Area', ""16' x 55'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Tiled Floor &amp; Walls for Kitchen, toilent, bathroom')]",Property Name : သင်္ဃန်းကျွန်းမြို့နယ်_လေးထောင့်ကန်လမ်းမကြီးပေါ်- AKK Shopping Mallရှေ့/လမ်းမတန်းပေါ်-ရှားပါး ထာဝရထောင့်ခန်း_အလွှာနိပ့် ပြင်ဆင်ပြီး တိုက်ခန်းအရောင်း။
House For Sale in Okkalappa South,"4 bedroom, 3 bathroom Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        10,500 Lakhs","Okkalappa South, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'House'), ('Floor', '2.5'), ('Area', ""60' x 20'""), ('Bed Room', '4'), ('Bath Room', '3'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : တောင်ဥက္ကလာပမြို့နယ် ၁၁ ရပ်ကွက်၊ သီဟသူလမ်းသွယ်(မေတ္တာလမ်းမကြီးအနီးရှိ) ၂ထပ်ခွဲတိုက် ‌အရောင်းလေးပါ! 
Apartment For Sale in Kamaryut,"2 bedroom, 1 bathroom Apartment for sale in Kamaryut, Yangon","For Sale                                    
                        3,500 Lakhs","Kamaryut, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', 'မြေညီထပ်'), ('Area', ""50' x 12.50'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : လှည်းတန်း လမ်းမကြီးနဲ့နီးတဲ့ မာလာလမ်းပေါ် မြေညီထပ် + ထပ်ခိုးပါ အခန်းလှလှလေး ရောင်းဖို့ရှိပါတယ်
Land For Sale in Okkalappa South," Land for sale in Okkalappa South, Yangon","For Sale                                    
                        21,000 Lakhs","Okkalappa South, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Land'), ('Area', ""40' x 60'""), ('Ownership', '')]",Property Name : တောင်ဥက္ကလာ VIP (6)ရပ်ကွက် ကုန်းဘောင်လမ်းမအနီးရှိ ပေ40×60 မြေကွက် ရောင်းမည်! 
Apartment For Sale in Thingangkuun,"1 bedroom, 1 bathroom Apartment for sale in Thingangkuun, Yangon","For Sale                                    
                        4,800 Lakhs","Thingangkuun, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', 'ပထမထပ်'), ('Area', '1500 ft<sup>2</sup>'), ('Bed Room', '1'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : ရွေးချယ်စရာတွေအများကြီးထဲကမှ အရွေးချယ်သင့်ဆုံး သင်္ဃန်းကျွန်း သုဝဏက ပထမထပ်တိုက်ခန်းရောင်းမည်။
Apartment For Sale in Dagon Myothit (North),"2 bedroom, 1 bathroom Apartment for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        2,600 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 18 Jan 2026,"[('Type', 'Apartment'), ('Floor', '၇'), ('Area', ""55' x 19'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : ဈေးသင့်ပြီး Lift ပါမြောက်ဒဂုံရဲ့ နေရာကောင်းမှာ ရှိနေတဲ့ Condo အရောင်းလေးပါ! 
House For Sale in Thingangkuun,"5 bedroom, 5 bathroom Privatehouse for sale in Thingangkuun, Yangon","For Sale                                    
                        33,000 Lakhs","Thingangkuun, Yangon",Posted Date : 18 Jan 2026,"[('Type', 'House'), ('Floor', '3.RC (Roofslab)'), ('Area', ""50' x 70'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Aircon conditioner details', '7'), ('Ownership', 'Grant'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : သင်္ဃန်းကျွန်းမြို့နယ်၊ သုဝဏ္ဏ၊ VIP မှာ မိသားစုသုံး (Indoor Lift) အိမ်တွင်းဓာတ်လှေခါးပါ ရှယ်လုံးချင်း ၃ ထပ်တိုက် အမြန်ရောင်းမည်
Star City Condo For Sale (2Bed Room) Very Cheap Price,"2 bedroom, 2 bathroom Condo for sale in Thanlyin, Yangon","For Sale                                    
                        4,200 Lakhs","Thanlyin, Yangon",Posted Date : 17 Jan 2026,"[('Type', 'Condo'), ('Area', '946 acre'), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : Star City Bဇုံ ဈေးတန် 2Bed အခန်းကောင်းအရောင်း ဘဏ်ချိတ်လက်ခံ
Star City Room For Sale(3Bed Room)Very Cheap Price,"3 bedroom, 2 bathroom Condo for sale in Thanlyin, Yangon","For Sale                                    
                        4,900 Lakhs","Thanlyin, Yangon",Posted Date : 17 Jan 2026,"[('Type', 'Condo'), ('Area', '1180 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : ‌Star Cityဈေးတန် Open View (3Bed Room)အခန်းကောင်း ဘဏ်ချိတ်လက်ခံ
